Country;NUTS;geo;label;na_item;vintage;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
AT;0;AT;Austria;B6N;2017;127877;130119;132893;137637;142805;152461;159699;167319;172384;172401;173778;178320;185380;185562;189739;193226;;;;;
AT;2;AT11;Burgenland (AT);B6N;2017;4061;4175;4277;4459;4746;5047;5284;5565;5715;5730;5820;5925;6266;6201;6333;6501;;;;;
AT;2;AT12;Niederösterreich;B6N;2017;24821;25391;25872;26822;27832;29775;31325;33015;34047;34129;34664;35559;36896;36911;37622;38253;;;;;
AT;2;AT13;Wien;B6N;2017;27504;27667;28265;29125;29993;31756;33120;34612;35532;35692;35813;36769;37981;37913;38778;39583;;;;;
AT;2;AT21;Kärnten;B6N;2017;8282;8478;8626;8939;9249;9927;10328;10799;11047;11023;11115;11279;11746;11689;11926;12122;;;;;
AT;2;AT22;Steiermark;B6N;2017;17831;18184;18595;19229;19885;21286;22300;23437;24182;24067;24313;24890;25866;25872;26437;26879;;;;;
AT;2;AT31;Oberösterreich;B6N;2017;21312;21749;22125;22934;23993;25684;26954;28161;29136;29013;29131;29956;31097;31132;31911;32380;;;;;
AT;2;AT32;Salzburg;B6N;2017;8127;8278;8441;8737;9058;9719;10158;10621;10979;10999;11038;11332;11815;11886;12171;12405;;;;;
AT;2;AT33;Tirol;B6N;2017;10221;10414;10765;11243;11669;12455;13007;13593;14029;14020;14101;14541;15227;15383;15756;16106;;;;;
AT;2;AT34;Vorarlberg;B6N;2017;5717;5784;5927;6148;6380;6812;7223;7517;7719;7729;7783;8069;8485;8576;8806;8999;;;;;
AT;2;ATZZ;Extra-regio;B6N;2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
AT;0;AT;Austria;B6N;2018;127877;130119;132893;137637;142805;152461;159699;167319;172384;172401;173778;178320;185380;185562;190712;193159;200647;;;;
AT;2;AT11;Burgenland (AT);B6N;2018;4061;4175;4277;4459;4746;5047;5284;5565;5715;5730;5820;5925;6266;6201;6405;6563;6771;;;;
AT;2;AT12;Niederösterreich;B6N;2018;24821;25391;25872;26822;27832;29775;31325;33015;34047;34129;34664;35559;36896;36911;37746;38145;39775;;;;
AT;2;AT13;Wien;B6N;2018;27504;27667;28265;29125;29993;31756;33120;34612;35532;35692;35813;36769;37981;37913;38961;39503;41025;;;;
AT;2;AT21;Kärnten;B6N;2018;8282;8478;8626;8939;9249;9927;10328;10799;11047;11023;11115;11279;11746;11689;12023;12144;12513;;;;
AT;2;AT22;Steiermark;B6N;2018;17831;18184;18595;19229;19885;21286;22300;23437;24182;24067;24313;24890;25866;25872;26595;26891;27813;;;;
AT;2;AT31;Oberösterreich;B6N;2018;21312;21749;22125;22934;23993;25684;26954;28161;29136;29013;29131;29956;31097;31132;32058;32363;33589;;;;
AT;2;AT32;Salzburg;B6N;2018;8127;8278;8441;8737;9058;9719;10158;10621;10979;10999;11038;11332;11815;11886;12239;12396;12928;;;;
AT;2;AT33;Tirol;B6N;2018;10221;10414;10765;11243;11669;12455;13007;13593;14029;14020;14101;14541;15227;15383;15863;16140;16849;;;;
AT;2;AT34;Vorarlberg;B6N;2018;5717;5784;5927;6148;6380;6812;7223;7517;7719;7729;7783;8069;8485;8576;8822;9013;9384;;;;
